# Source checked: 2026-04-04
# Primary-source basis:
# - MAFF Plant Protection Station Thai mangosteen phytosanitary implementation rule
# - CAA residue standards page: Japan positive-list framework and MRL reference surface
# - MHLW residue standards page / Notification No. 497: 0.01 mg/kg uniform fallback when no specific MRL exists
# Supporting numeric source:
# - JFCRF food_group_detail:11900 / Excel export (Other Fruits)
# - JFCRF glossary: N.D. = Not Detected
# Scope:
# - Exhaustive mangosteen-applicable row set from the official 11900 export retrieved on 2026-04-04
# - Official export row count: 248
# - Excluded row count: 1 (GIBBERELLIN, note = acerola)
# - Effective explicit row count for mangosteen: 247
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
1-NAPHTHALENEACETIC ACID,,,,0.7,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.7 mg/kg | Basis Ac2025
QUINTOZENE,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
RESMETHRIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
SAFLUFENACIL,,,,0.03,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.03 mg/kg | Basis Ac2017
SETHOXYDIM,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Ac2020
SIMAZINE,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Bh2006
SPINETORAM,,,,0.5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.5 mg/kg | Basis Ab2015
SPINOSAD,,,,0.3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.3 mg/kg | Basis Ab2012
SPIRODICLOFEN,,,,5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 5 mg/kg | Basis Ac2013
SPIROMESIFEN,,,,0.5,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.5 mg/kg | Basis Ac2007
SPIROTETRAMAT,,,,15,NUMERIC,JFCRF food_group_detail:11900,Source MRL 15 mg/kg | Basis Aa2017
STREPTOMYCIN(repeated/see DIHYDROSTREPTOMYCIN and STREPTOMYCIN),,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
SULFENTRAZONE,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
SULFOXAFLOR,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Aa2017
SULFURYL FLUORIDE,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Bh2006
TEBUCONAZOLE,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ac2013
TEBUFENOZIDE,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Ac2010
TEBUFENPYRAD,,,,0.3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.3 mg/kg | Basis Ab2019
TECNAZENE,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
TEFLUTHRIN,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
TERBACIL,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
TERBUFOS,,,,0.005,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.005 mg/kg | Basis Bh2006
TETRACONAZOLE,,,,0.3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.3 mg/kg | Basis Ac2019
THIABENDAZOLE,,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Bh2006
THIACLOPRID,,,,4,NUMERIC,JFCRF food_group_detail:11900,Source MRL 4 mg/kg | Basis Ac2019
THIAMETHOXAM,,,,2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 2 mg/kg | Basis Ab2009
THIODICARB and METHOMYL,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Bh2006
"THIOPHANATE (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Bh2006
"THIOPHANATE-METHYL (repeated/see CARBENDAZIM, THIOPHANATE, THIOPHANATE-METHYL and BENOMYL)",,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Bh2006
TRALOMETHRIN (repeated/see DELTAMETHRIN and TRALOMETHRIN),,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Aa2018
TRI-ALLATE,,,,0.1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.1 mg/kg | Basis Bh2006
TRIADIMEFON,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Bh2006
TRIADIMENOL,,,,0.2,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.2 mg/kg | Basis Bh2006
TRICHLORFON,,,,0.50,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.50 mg/kg | Basis Ag2006
TRICLOPYR,,,,0.03,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.03 mg/kg | Basis Bh2006
TRIDEMORPH,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Bh2006
TRIFLOXYSTROBIN,,,,3,NUMERIC,JFCRF food_group_detail:11900,Source MRL 3 mg/kg | Basis Aa2023
TRIFLUMIZOLE,,,,1,NUMERIC,JFCRF food_group_detail:11900,Source MRL 1 mg/kg | Basis Ab2019
TRIFLUMURON,,,,0.02,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.02 mg/kg | Basis Bh2006
TRIFLURALIN,,,,0.05,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.05 mg/kg | Basis Ag2006
WARFARIN,,,,0.001,NUMERIC,JFCRF food_group_detail:11900,Source MRL 0.001 mg/kg | Basis Bh2006
