# Source: European Commission EU Pesticides Database backend API
# Endpoint: https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/backend/api/product/76/mrls?lang=EN
# Product: Mangoes (Mangifera indica)
# Product code: 0163030
# Extracted: 2026-04-05
# Raw Commission row count: 520
# Merged unique operational row count: 516
# Explicit no-numeric-MRL row count: 13
# Official default fallback when no specific mango row exists: 0.01 mg/kg (Regulation (EC) No 396/2005 Article 18(1)(b); see Commission database footnotes such as Fosetyl).
name,aliases,cas,thaiMrl,destinationMrl,destinationLimitType,sourceRef,note
Fenpyrazamine (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fenpyroximate (R),(F),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fenthion (fenthion and its oxigen analogue, their sulfoxides and sulfone expressed as parent) (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fentin (fentin including its salts, expressed as triphenyltin cation) (F)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R),(F)",,,,1.5,NUMERIC,EC EU Pesticides Database product/76,
Fipronil (sum fipronil + sulfone metabolite (MB46136) expressed as fipronil) (F),,,,0.005,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.005*
Flazasulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Flonicamid (sum of flonicamid, TFNA and TFNG expressed as flonicamid) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Florasulam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Florpyrauxifen-benzyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fluazifop-P (sum of all the constituent isomers of fluazifop, its esters and its conjugates, expressed as fluazifop)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluazinam (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flubendiamide (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flucycloxuron (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flucythrinate (flucythrinate including other mixtures of constituent isomers (sum of isomers)) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fludioxonil (R),(F)",,,,2,NUMERIC,EC EU Pesticides Database product/76,
Flufenacet (sum of all compounds containing the N fluorophenyl-N-isopropyl moiety expressed as flufenacet),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Flufenoxuron (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flufenzin,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Flumequine,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Flumetralin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flumioxazine,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Fluometuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluopicolide,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluopyram (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluoride ion,,,,0.2,NUMERIC,EC EU Pesticides Database product/76,"Footnotes: The European Food Safety Authority identified some information on toxicological data of plant metabolites as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by [Office of Publication: please insert date 2 years after publication], or, if that information is not submitted by that date, the lack of it. || The European Food Safety Authority identified some information on analytical methods as unavailable. Occurrence data show that a lower MRL than 0.2 mg/kg is currently not achievable. Further data are necessary to monitor this level over time in view of its possible reduction. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by 29 July 2024, or, if that information is not submitted by that date, the lack of it."
Fluoroglycofene,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluoxastrobin (sum of fluoxastrobin and its Z-isomer) (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flupyradifurone,,,,0.7,NUMERIC,EC EU Pesticides Database product/76,
Flupyrsulfuron-methyl,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Fluquinconazole (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flurochloridone (sum of cis- and trans- isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Fluroxypyr (sum of fluroxypyr, its salts, its esters, and its conjugates, expressed as fluroxypyr) (R),(A)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flurprimidole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flurtamone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Flusilazole (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flutianil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flutolanil (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Flutriafol,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluvalinate (sum of isomers) resulting from the use of tau-fluvalinate (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fluxapyroxad (F),,,,0.7,NUMERIC,EC EU Pesticides Database product/76,
"Folpet (sum of folpet and phtalimide, expressed as folpet) (R)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Fomesafen,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Foramsulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Forchlorfenuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Formetanate: Sum of formetanate and its salts expressed as formetanate (hydrochloride),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Formothion,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Fosetyl,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL. | Footnotes: The MRL for phosphonic acid applies and the default value of 0.01 mg/kg according to Article 18(1)(b) of Regulation (EC) no 396/2005 does not apply
Fosthiazate,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Fuberidazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Furfural,,,,1,NUMERIC,EC EU Pesticides Database product/76,
"Glufosinate (sum of glufosinate isomers, its salts and its metabolites 3-[hydroxy(methyl)phosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)",,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
Glyphosate,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
"Guazatine (guazatine acetate, sum of components)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
"Halauxifen-methyl (sum of halauxifen-methyl and X11393729 (halauxifen), expressed as halauxifen-methyl)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Halosulfuron methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Haloxyfop (Sum of haloxyfop, its esters, salts and conjugates expressed as haloxyfop (sum of the R- and S- isomers at any ratio)) (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Hexachlorobenzene (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Hexachlorocyclohexane (HCH), alpha-isomer (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Hexachlorocyclohexane (HCH), beta-isomer (F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Hexaconazole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Hexythiazox (any ratio of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Hydrogen cyanide (cyanides expressed as hydrogen cyanide),,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Hymexazol,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Imazalil (any ratio of constituent isomers) (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Imazamox (Sum of imazamox and its salts, expressed as imazamox)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Imazapic,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Imazapyr,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
Imazaquin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Imazosulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Imidacloprid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Indolylacetic acid,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Indolylbutyric acid,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Indoxacarb (sum of indoxacarb and its R enantiomer) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Iodosulfuron-methyl (sum of iodosulfuron-methyl and its salts, expressed as iodosulfuron-methyl)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Ioxynil (sum of ioxynil and its salts, expressed as ioxynil)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Ipconazole (sum of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Iprodione (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Iprovalicarb,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Isofetamid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Isoprothiolane,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Isoproturon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Isopyrazam (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Isoxaben,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Isoxaflutole (sum of isoxaflutole and its diketonitrile-metabolite, expressed as isoxaflutole)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Kresoxim-methyl (R),,,,0.1,NUMERIC,EC EU Pesticides Database product/76,
Lactofen,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Lambda-cyhalothrin (includes gamma-cyhalothrin) (sum of R,S and S,R isomers) (F)",,,,0.2,NUMERIC,EC EU Pesticides Database product/76,"Footnotes: The European Food Safety Authority identified some information on certain metabolites (compounds Ia, IV and gamma-lactone) formed under sterilization conditions as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by 6 July 2020, or, if that information is not submitted by that date, the lack of it."
Lenacil,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Lindane (Gamma-isomer of hexachlorocyclohexane (HCH)) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Linuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Lufenuron (any ratio of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"MCPA and MCPB (MCPA, MCPB including their salts, esters and conjugates expressed as MCPA) (R),(F)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Malathion (sum of malathion and malaoxon expressed as malathion),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Maleic hydrazide,,,,0.2,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.2*
Mandestrobin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mandipropamid (any ratio of constituent isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mecarbam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mecoprop (sum of mecoprop-p and mecoprop expressed as mecoprop),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Mefentrifluconazole,,,,0.6,NUMERIC,EC EU Pesticides Database product/76,
Mepanipyrim,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Mepiquat (sum of mepiquat and its salts, expressed as mepiquat chloride)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Mepronil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Meptyldinocap (sum of 2,4 DNOPC and 2,4 DNOP expressed as meptyldinocap)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mercury compounds (sum of mercury compounds expressed as mercury),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mesosulfuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mesotrione,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metaflumizone (sum of E- and Z- isomers),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M (sum of isomers)) (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metaldehyde,,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Metamitron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Metazachlor (Sum of metabolites 479M04, 479M08 and 479M16, expressed as metazachlor) (R)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Metconazole (sum of isomers) (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Methabenzthiazuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methacrifos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methamidophos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methidathion,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Methiocarb (sum of methiocarb and methiocarb sulfoxide and sulfone, expressed as methiocarb)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Methomyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methoprene,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Methoxychlor (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methoxyfenozide (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Methylisothiocyanate (resulting from the use of dazomet or metam),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metolachlor and S-metolachlor (metolachlor including other mixtures of constituent isomers including S-metolachlor (sum of isomers)),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metosulam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metrafenone (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Metribuzin,,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Metsulfuron-methyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Mevinphos (sum of E- and Z-isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Milbemectin (sum of milbemycin A4 and milbemycin A3, expressed as milbemectin)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Molinate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Monocrotophos,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Monolinuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Monuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Myclobutanil  (sum of  constituent isomers) (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Napropamide (sum  of isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Nicosulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Nicotine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Nitrofen (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Novaluron (sum of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Omethoate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Orthosulfamuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oryzalin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxadiargyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxadiazon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxadixyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxamyl,,,,0.001,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.001*
Oxasulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxathiapiprolin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxycarboxin,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxydemeton-methyl (sum of oxydemeton-methyl and demeton-S-methylsulfone expressed as oxydemeton-methyl),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Oxyfluorfen (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Paclobutrazol (sum of constituent isomers),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Paraffin oil (CAS 64742-54-7),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Paraquat,,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Parathion (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Parathion-methyl (sum of Parathion-methyl and paraoxon-methyl expressed as Parathion-methyl),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Penconazole (sum of constituent isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Pencycuron (sum of pencycuron and pencycuron-PB-amine, expressed as pencycuron) (R),(F),(A)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Pendimethalin (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Penflufen (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Penoxsulam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Penthiopyrad (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Permethrin (sum of isomers) (F),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Pethoxamid,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Petroleum oils (CAS 92062-35-6),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phenmedipham,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phenothrin (phenothrin including other mixtures of constituent isomers (sum of isomers)) (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Phenthoate,,,,0,NO_NUMERIC_LIMIT,EC EU Pesticides Database product/76,Official Commission mango entry has no published numeric MRL.
"Phorate (sum of phorate, its oxygen analogue and their sulfones expressed as phorate)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phosalone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phosmet,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phosphamidon,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Phosphane and phosphide salts (sum of phosphane and phosphane generators (relevant phosphide salts), determined and expressed as phosphane)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Phosphonic acid and its salts expressed as phosphonic acid (R),,,,1.5,NUMERIC,EC EU Pesticides Database product/76,Display MRL 1.5*
Phoxim (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Picloram, free and conjugated, expressed as picloram (R)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Picolinafen,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Picoxystrobin (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pirimicarb (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pirimiphos-methyl (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Potassium permanganate,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Prochloraz (sum of prochloraz, BTS 44595 (M201-04) and BTS 44596 (M201-03), expressed as prochloraz) (F)",,,,0.03,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.03*
Procymidone (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Profenofos (F),,,,0.2,NUMERIC,EC EU Pesticides Database product/76,
Profoxydim,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Propachlor: oxalinic derivate of propachlor, expressed as propachlor",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Propamocarb (Sum of propamocarb and its salts, expressed as propamocarb) (R)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propanil,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propargite (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propham,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propiconazole (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propineb (expressed as propilendiamine),,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Propisochlor,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Propoxur,,,,0.005,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.005*
"Propoxycarbazone (propoxycarbazone, its salts and 2-hydroxypropoxycarbazone expressed as propoxycarbazone) (A)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
"Propyzamide (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Proquinazid (R),(F)",,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Prosulfocarb,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Prosulfuron,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Prothioconazole: prothioconazole-desthio (sum of isomers) (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pymetrozine (R),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Pyraclostrobin (F),,,,0.6,NUMERIC,EC EU Pesticides Database product/76,
"Pyraflufen-ethyl (Sum of pyraflufen-ethyl and pyraflufen, expressed as pyraflufen-ethyl)",,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Pyrasulfotole,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pyrazophos (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pyrethrins,,,,1,NUMERIC,EC EU Pesticides Database product/76,
Pyridaben (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pyridalyl,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
"Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)",,,,0.05,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.05*
Pyrimethanil (R),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pyriofenone,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Pyriproxyfen (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,"Display MRL 0.02* | Footnotes: The European Food Safety Authority identified some information on analytical methods as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by 12/09/2025, or, if that information is not submitted by that date, the lack of it. || The European Food Safety Authority identified some information on analytical methods as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by [Office of Publication: please insert date 2 years after publication], or, if that information is not submitted by that date, the lack of it. || The European Food Safety Authority identified some information on analytical methods as unavailable. When re-viewing the MRL, the Commission will take into account the information referred to in the first sentence, if it is submitted by [smartdate], or, if that information is not submitted by that date, the lack of it."
Pyroxsulam,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Quinalphos (F),,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Quinclorac,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Quinmerac (sum of quinmerac and its metabolites BH 518-2 and BH 518-4 expressed as quinmerac) (R),,,,0.1,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.1*
Quinoclamine,,,,0.01,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.01*
Quinoxyfen (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
Quintozene (sum of quintozene and pentachloro-aniline expressed as quintozene) (F),,,,0.02,NUMERIC,EC EU Pesticides Database product/76,Display MRL 0.02*
